geography,bounds,xlat,xlon,day_count,source_rows,activity_sum,activity_mean_per_day,activity_min,activity_max
021230030220201013,"-122.32864379882812, 47.60431120244565, -122.3272705078125, 47.6052371313521",47.60477,-122.32796,31,31,40.876994,1.318613,1.056366,1.907425
021230030220023221,"-122.33139038085938, 47.60708893999558, -122.33001708984375, 47.6080148197327",47.60755,-122.33070,31,31,40.171884,1.295867,1.033426,1.645521
021230030220021230,"-122.33001708984375, 47.61449551898437, -122.32864379882812, 47.615421267605434",47.61496,-122.32933,31,31,39.777710,1.283152,1.032044,1.633333
021230030220023223,"-122.33139038085938, 47.60616304386873, -122.33001708984375, 47.60708893999558",47.60663,-122.33070,31,31,39.319271,1.268364,0.692952,1.755931
021230030220021232,"-122.33001708984375, 47.61356975397396, -122.32864379882812, 47.61449551898437",47.61403,-122.32933,31,31,39.181857,1.263931,0.830425,1.739896
021230030220023232,"-122.33001708984375, 47.60616304386873, -122.32864379882812, 47.60708893999558",47.60663,-122.32933,31,31,38.454332,1.240462,0.661236,1.611632
021230030220021021,"-122.33139038085938, 47.61819841513311, -122.33001708984375, 47.619124098197325",47.61866,-122.33070,31,31,37.651401,1.214561,0.720399,1.638278
021230030220212000,"-122.32177734375, 47.59782924118146, -122.32040405273438, 47.59875528481801",47.59829,-122.32109,31,31,37.615715,1.213410,0.681674,1.636426
021230030220231101,"-122.30392456054688, 47.59042030203754, -122.30255126953125, 47.5913464767971",47.59088,-122.30324,31,31,37.014768,1.194025,0.674892,1.526176
021230021313123200,"-122.376708984375, 47.66816184901461, -122.37533569335938, 47.669086647137576",47.66862,-122.37602,31,31,36.973324,1.192688,0.812990,1.741104
021230030202201311,"-122.32315063476562, 47.660762874112834, -122.32177734375, 47.661687803329166",47.66123,-122.32246,31,31,36.935257,1.191460,0.831682,1.729734
021230030221121133,"-122.19131469726562, 47.61727271567976, -122.18994140625, 47.61819841513311",47.61774,-122.19063,31,31,36.557308,1.179268,0.736247,1.536258
021230030220021212,"-122.33001708984375, 47.615421267605434, -122.32864379882812, 47.616346999837226",47.61588,-122.32933,31,31,36.509163,1.177715,0.749131,1.589991
021230030220023022,"-122.332763671875, 47.60986653003798, -122.33139038085938, 47.610792360606226",47.61033,-122.33208,31,31,36.278421,1.170272,0.636685,1.616850
021230030222010001,"-122.32040405273438, 47.57559927673142, -122.31903076171875, 47.576525713746214",47.57606,-122.31972,31,31,36.229268,1.168686,0.613596,1.593070
021230030220022100,"-122.3382568359375, 47.61264397257417, -122.33688354492188, 47.61356975397396",47.61311,-122.33757,31,31,36.092121,1.164262,0.656674,1.585624
021230030220201301,"-122.32589721679688, 47.6015333173869, -122.32452392578125, 47.6024592954631",47.60200,-122.32521,31,31,35.888354,1.157689,0.695576,1.684883
021230030220212202,"-122.32177734375, 47.59319877714463, -122.32040405273438, 47.5941249027327",47.59366,-122.32109,31,31,35.864048,1.156905,0.625529,1.602792
021230030220201010,"-122.33001708984375, 47.6052371313521, -122.32864379882812, 47.60616304386873",47.60570,-122.32933,31,31,35.501020,1.145194,0.610204,1.627002
021230030220022212,"-122.34100341796875, 47.6080148197327, -122.33963012695312, 47.608940683080164",47.60848,-122.34032,31,31,34.517959,1.113483,0.583914,1.738930
021230030220003011,"-122.32864379882812, 47.627454508271704, -122.3272705078125, 47.62838002744714",47.62792,-122.32796,31,31,34.384710,1.109184,0.597058,1.510942
021230030220022133,"-122.33413696289062, 47.60986653003798, -122.332763671875, 47.610792360606226",47.61033,-122.33345,31,31,34.338951,1.107708,0.633054,1.618715
021230021313111311,"-122.34512329101562, 47.6903524814057, -122.34375, 47.691276886267545",47.69081,-122.34444,31,31,34.244474,1.104660,0.764759,1.451341
021230030220321003,"-122.28744506835938, 47.589494110887394, -122.28607177734375, 47.59042030203754",47.58996,-122.28676,31,31,34.082222,1.099427,0.613329,1.521896
021230030220022120,"-122.3382568359375, 47.610792360606226, -122.33688354492188, 47.61171817478493",47.61126,-122.33757,31,31,34.028632,1.097698,0.673774,1.482858
021230030220201312,"-122.32452392578125, 47.60060732292069, -122.32315063476562, 47.6015333173869",47.60107,-122.32384,31,31,33.987939,1.096385,0.558353,1.543065
021230030221220013,"-122.25173950195312, 47.589494110887394, -122.2503662109375, 47.59042030203754",47.58996,-122.25105,31,31,33.827042,1.091195,0.559387,1.482991
021230030220201120,"-122.3272705078125, 47.603385257149334, -122.32589721679688, 47.60431120244565",47.60385,-122.32658,31,31,33.614821,1.084349,0.651394,1.470288
021230030220022122,"-122.3382568359375, 47.60986653003798, -122.33688354492188, 47.610792360606226",47.61033,-122.33757,31,31,33.514841,1.081124,0.279886,1.587790
021230030220002310,"-122.33551025390625, 47.623752267682875, -122.33413696289062, 47.62467785241324",47.62422,-122.33482,31,31,33.409540,1.077727,0.588019,1.473669
021230030220201232,"-122.33001708984375, 47.59875528481801, -122.32864379882812, 47.59968131206439",47.59922,-122.32933,31,31,33.253434,1.072691,0.370421,1.533830
021230030220022132,"-122.33551025390625, 47.60986653003798, -122.33413696289062, 47.610792360606226",47.61033,-122.33482,31,32,33.197274,1.070880,0.178879,1.741508
021230030220201331,"-122.32315063476562, 47.59968131206439, -122.32177734375, 47.60060732292069",47.60014,-122.32246,31,31,33.038488,1.065758,0.586670,1.502705
021230030220321002,"-122.288818359375, 47.589494110887394, -122.28744506835938, 47.59042030203754",47.58996,-122.28813,31,31,32.946454,1.062789,0.626120,1.447998
021230030220212002,"-122.32177734375, 47.5969031811547, -122.32040405273438, 47.59782924118146",47.59737,-122.32109,31,31,32.857213,1.059910,0.623516,1.462563
021230030220023230,"-122.33001708984375, 47.60708893999558, -122.32864379882812, 47.6080148197327",47.60755,-122.32933,31,31,32.673495,1.053984,0.581973,1.475639
021230030220023202,"-122.332763671875, 47.6080148197327, -122.33139038085938, 47.608940683080164",47.60848,-122.33208,31,31,32.550109,1.050004,0.575271,1.472206
021230030220022130,"-122.33551025390625, 47.610792360606226, -122.33413696289062, 47.61171817478493",47.61126,-122.33482,31,31,32.395404,1.045013,0.655640,1.543038
021230030220021210,"-122.33001708984375, 47.616346999837226, -122.32864379882812, 47.61727271567976",47.61681,-122.32933,31,31,32.126714,1.036346,0.479712,1.499559
021230030220022310,"-122.33551025390625, 47.608940683080164, -122.33413696289062, 47.60986653003798",47.60940,-122.33482,31,31,32.040293,1.033558,0.310161,1.506157
021230030220022333,"-122.33413696289062, 47.60616304386873, -122.332763671875, 47.60708893999558",47.60663,-122.33345,31,31,31.964434,1.031111,0.458839,1.544037
021230030220022312,"-122.33551025390625, 47.6080148197327, -122.33413696289062, 47.608940683080164",47.60848,-122.33482,31,31,31.756307,1.024397,0.397472,1.536687
021230030220201122,"-122.3272705078125, 47.6024592954631, -122.32589721679688, 47.603385257149334",47.60292,-122.32658,31,31,31.705763,1.022767,0.638781,1.391802
021230030220200111,"-122.33413696289062, 47.6052371313521, -122.332763671875, 47.60616304386873",47.60570,-122.33345,31,31,31.660811,1.021316,0.204518,1.525946
021230030202201111,"-122.32315063476562, 47.66446249265729, -122.32177734375, 47.66538735632655",47.66492,-122.32246,31,31,31.418424,1.013498,0.566819,1.437293
021230030220201003,"-122.33139038085938, 47.60431120244565, -122.33001708984375, 47.6052371313521",47.60477,-122.33070,29,29,31.417273,1.083354,0.176165,1.912171
021230030220023301,"-122.32589721679688, 47.608940683080164, -122.32452392578125, 47.60986653003798",47.60940,-122.32521,31,31,31.409537,1.013211,0.456673,1.380851
021230030220022301,"-122.33688354492188, 47.608940683080164, -122.33551025390625, 47.60986653003798",47.60940,-122.33620,31,31,31.290255,1.009363,0.412801,1.510494
021230030222010003,"-122.32040405273438, 47.574672823325265, -122.31903076171875, 47.57559927673142",47.57514,-122.31972,31,31,31.176492,1.005693,0.518780,1.370471
021230030220022201,"-122.34237670898438, 47.608940683080164, -122.34100341796875, 47.60986653003798",47.60940,-122.34169,31,31,30.819727,0.994185,0.483821,1.650630
021230030220023001,"-122.33139038085938, 47.61264397257417, -122.33001708984375, 47.61356975397396",47.61311,-122.33070,31,31,30.595472,0.986951,0.501079,1.421229
021230030220200112,"-122.33551025390625, 47.60431120244565, -122.33413696289062, 47.6052371313521",47.60477,-122.33482,31,31,30.575481,0.986306,0.264365,1.717084
021230030220022321,"-122.33688354492188, 47.60708893999558, -122.33551025390625, 47.6080148197327",47.60755,-122.33620,31,31,30.515811,0.984381,0.167913,1.626375
021230030220022123,"-122.33688354492188, 47.60986653003798, -122.33551025390625, 47.610792360606226",47.61033,-122.33620,31,31,30.436236,0.981814,0.320443,1.502653
021230030220023203,"-122.33139038085938, 47.6080148197327, -122.33001708984375, 47.608940683080164",47.60848,-122.33070,31,31,30.368700,0.979635,0.524890,1.374386
