date,cell_count,source_rows,activity_sum,activity_mean_per_cell,activity_min,activity_max
2020-01-01,9913,10387,986.973019,0.099564,0.000110,1.226620
2020-01-02,10870,11198,1340.228142,0.123296,0.000012,1.939668
2020-01-03,10848,11571,1550.262478,0.142908,0.000708,1.397382
2020-01-04,9639,11113,1220.084873,0.126578,0.000076,1.815169
2020-01-05,9952,10483,1048.787184,0.105385,0.002231,1.274049
2020-01-06,10497,11724,1528.746357,0.145637,0.000002,1.508965
2020-01-07,10238,11592,1471.965665,0.143775,0.000005,1.362421
2020-01-08,11681,12056,1625.084395,0.139122,0.000020,1.504788
2020-01-09,10697,12099,1678.772440,0.156939,0.000012,1.510494
2020-01-10,10733,12131,1657.392131,0.154420,0.000001,1.764232
2020-01-11,11347,11675,1253.425153,0.110463,0.000001,1.382113
2020-01-12,9940,11134,1008.873762,0.101496,0.000056,1.144899
2020-01-13,10124,11927,1156.776987,0.114261,0.000023,1.491183
2020-01-14,10465,11604,1151.261414,0.110011,0.000163,1.403450
2020-01-15,10078,11662,1262.554666,0.125278,0.000103,1.379405
2020-01-16,10976,11880,1533.646937,0.139727,0.000003,1.407433
2020-01-17,11687,12244,1663.261281,0.142317,0.000017,1.430053
2020-01-18,10651,11413,1252.518348,0.117596,0.000006,1.241823
2020-01-19,10619,10934,1101.320430,0.103712,0.000092,1.244989
2020-01-20,9358,11112,1217.102300,0.130060,0.000002,1.316323
2020-01-21,10092,11635,1516.347399,0.150252,0.001856,1.378716
2020-01-22,9839,11284,1508.801511,0.153349,0.000001,1.396739
2020-01-23,10293,11441,1545.645017,0.150165,0.000004,1.474404
2020-01-24,10962,11903,1632.189918,0.148895,0.000023,1.474603
2020-01-25,10038,11326,1326.723351,0.132170,0.000128,1.741104
2020-01-26,10284,11364,1145.894253,0.111425,0.000046,1.150151
2020-01-27,10493,11750,1491.027876,0.142097,0.000062,1.510942
2020-01-28,10228,11639,1528.864590,0.149478,0.000001,1.318074
2020-01-29,11251,11570,1533.094629,0.136263,0.000002,1.556688
2020-01-30,11374,11899,1618.238461,0.142275,0.000012,1.578143
2020-01-31,9741,10969,971.605705,0.099744,0.000065,1.393533
