code,roadName,description,lat,lng,records,totalVolume,averageVolumePerRecord,weekdayVolume,weekendVolume,peakHour,peakHourVolume,weight
22009,Jurong West Ctrl 3,Boon Lay Int,1.33932334709184,103.70545701843297,44,3376973,76749.38636363637,2537679,839294,18,353263,1
46009,Woodlands Sq,Woodlands Int,1.436946,103.785936,43,3247789,75529.97674418605,2395324,852465,18,304690,1
75009,Tampines Ctrl 1,Tampines Int,1.35407552367477,103.94339098473914,45,2507698,55726.62222222222,1865773,641925,18,236484,1
52009,Lor 6 Toa Payoh,Toa Payoh Int,1.33202083385749,103.84692763524869,43,1720727,40016.90697674418,1276183,444544,18,158448,1
84009,Bedok Nth Dr,Bedok Int,1.32453874317344,103.92903818515839,42,1667271,39696.92857142857,1208947,458324,18,143466,1
59009,Yishun Ave 2,Yishun Int,1.4284,103.8360975,42,1619606,38562.04761904762,1172528,447078,18,168549,1
44009,Choa Chu Kang Loop,Choa Chu Kang Int,1.38586897797184,103.74578895932125,44,1317423,29941.43181818182,971325,346098,18,128029,1
54009,Ang Mo Kio Ave 8,Ang Mo Kio Int,1.36968769913339,103.84856716193268,42,1315310,31316.904761904763,964049,351261,18,119268,1
46101,Woodlands Crossing,W'lands Checkpt,1.44460832436456,103.76774882217022,42,1181550,28132.14285714286,815824,365726,10,80028,1
77009,Pasir Ris Dr 3,Pasir Ris Int,1.373696,103.94845,44,1137644,25855.545454545456,859258,278386,18,110702,1
43009,Bt Batok Ctrl,Bt Batok Int,1.34999354306126,103.75106190953444,42,1130421,26914.785714285714,862563,267858,18,120109,1
17171,C'wealth Ave West,Clementi Stn Exit A/Mall,1.315334,103.764861,42,1035363,24651.5,781522,253841,18,106269,1
46109,Woodlands Crossing,W'lands Checkpt,1.44694093553778,103.76925342517902,43,1011010,23511.86046511628,676167,334843,7,91311,1
65009,Punggol Pl,Punggol Int,1.40370629859822,103.90224337575333,43,900048,20931.3488372093,676273,223775,18,80591,1
28091,Boon Lay Way,Lakeside Stn,1.34425795644531,103.72012487725401,43,795668,18503.906976744187,610128,185540,7,91830,1
64009,Hougang Ctrl,Hougang Ctrl Int,1.37060695394614,103.89266808874676,42,790302,18816.714285714286,580508,209794,18,71120,1
17009,Clementi Ave 3,Clementi Int,1.31491572870629,103.76412225438476,42,782953,18641.738095238095,581994,200959,18,70186,1
46779,Woodlands Ave 7,Admiralty Stn,1.44071357576488,103.80070754495145,42,764892,18211.714285714286,593234,171658,7,80245,1
65191,TPE,Bef Punggol Rd,1.39527356921611,103.90539999997036,42,723721,17231.45238095238,553557,170164,18,89178,1
46069,Woodlands Ctr Rd,W'lands Train Checkpt,1.44288948418349,103.76933833799299,42,709620,16895.714285714286,526076,183544,18,73522,1
17179,C'wealth Ave West,Clementi Stn Exit B,1.31528191560846,103.76536000516927,40,708195,17704.875,540308,167887,8,71341,1
45139,Woodlands Rd,Kranji Stn,1.42525961270458,103.76178101875855,42,701612,16705.04761904762,479879,221733,7,67601,1
65199,TPE,Aft Punggol Rd,1.39591721161169,103.90542736761212,40,674903,16872.575,513347,161556,7,87539,1
46211,Johor Bahru,Johor Bahru Checkpt,1.46491732433248,103.76547712149443,42,655374,15604.142857142857,448447,206927,11,44553,1
45009,Petir Rd,Bt Panjang Int,1.37812611932206,103.763286611367,42,640381,15247.166666666666,480989,159392,18,68679,1
46008,Woodlands Sq,Woodlands Int,1.436849,103.785737,42,628366,14961.095238095239,465998,162368,18,60976,1
84031,New Upp Changi Rd,Bedok Stn Exit B,1.32428292329305,103.93003627080394,42,627681,14944.785714285714,459314,168367,18,65416,1
59072,Yishun Ave 2,Yishun Stn Exit E,1.429383056,103.8354931,42,602970,14356.42857142857,448407,154563,7,73926,1
53231,Bishan Rd,Bishan Stn,1.35089997844732,103.84797987894204,41,581557,14184.317073170732,444681,136876,8,66197,1
53009,Bishan St 13,Bishan Int,1.35045541249544,103.84988083722291,43,579199,13469.744186046511,430806,148393,18,57445,1
24009,Joo Koon Circle,Joo Koon Int,1.32697254709069,103.67839791240787,40,537402,13435.05,418134,119268,7,82938,1
66359,S'goon Ctrl,S'goon Stn Exit C/Blk 201,1.35080698547823,103.87328604946424,42,532763,12684.833333333334,404278,128485,8,59935,1
46219,Johor Bahru,Johor Bahru Checkpt,1.4654268105665,103.76826657164715,44,530824,12064.181818181818,350340,180484,6,42045,1
55509,Ang Mo Kio Ave 8,Yio Chu Kang Int,1.38113241525166,103.8455558816965,42,522430,12438.809523809523,427212,95218,7,57502,1
66351,S'goon Ctrl,S'goon Stn Exit E,1.35049831450162,103.87324486521683,42,504683,12016.261904761905,375036,129647,18,55791,1
66009,S'goon Ave 2,Serangoon Int,1.35046610176969,103.87168992264617,42,495806,11804.904761904761,355790,140016,18,50208,1
10169,Tiong Bahru Rd,Tiong Bahru Stn/Plaza,1.28599961406266,103.82748123930962,40,493137,12328.425,366687,126450,18,47065,1
14141,Telok Blangah Rd,HarbourFront Stn/Vivocity,1.26552421466644,103.82211326846237,41,474994,11585.219512195123,333644,141350,18,42718,1
